,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
20,18-56,"Private,Self-emp-inc,Self-emp-not-inc",302146-309974,"11th,Bachelors,HS-grad,Some-college",7-13,"Married-civ-spouse,Never-married,Separated","Adm-clerical,Farming-fishing,Other-service,Sales,Transport-moving","Husband,Not-in-family,Own-child,Unmarried,Wife","Asian-Pac-Islander,Black,White","Female,Male",0,0,20-60,"Cambodia,Laos,United-States","<=50k,>50k"
21,28-63,"Federal-gov,Private,Self-emp-inc,Self-emp-not-inc,State-gov",72887-80914,"9th,Assoc-voc,Bachelors,HS-grad,Masters,Prof-school",5-15,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Exec-managerial,Farming-fishing,Machine-op-inspct,Prof-specialty","Husband,Not-in-family,Own-child,Unmarried","Asian-Pac-Islander,Black,White","Female,Male",0-2174,0,30-55,"Germany,United-States","<=50k,>50k"
22,20-44,"Local-gov,Private,Self-emp-not-inc",116632-117789,"11th,9th,Assoc-acdm,Doctorate,HS-grad,Some-college",5-16,"Married-civ-spouse,Never-married","Craft-repair,Farming-fishing,Other-service,Prof-specialty,Protective-serv,Transport-moving","Husband,Not-in-family,Own-child,Wife",White,"Female,Male",0,0-2042,40-45,"Portugal,United-States","<=50k,>50k"
23,28-59,"Private,Self-emp-inc,State-gov",108699-110978,"11th,Bachelors,Doctorate,HS-grad,Some-college",7-16,"Divorced,Married-civ-spouse","Adm-clerical,Craft-repair,Exec-managerial,Machine-op-inspct,Prof-specialty,Sales,Tech-support","Husband,Not-in-family,Other-relative,Unmarried","Other,White","Female,Male",0,0,1-60,"Puerto-Rico,United-States","<=50k,>50k"
24,23-56,"Local-gov,Private",214542-220419,"5th-6th,Bachelors,HS-grad",3-13,"Divorced,Married-civ-spouse,Never-married","Craft-repair,Handlers-cleaners,Machine-op-inspct,Other-service,Protective-serv,Tech-support,Transport-moving","Husband,Not-in-family,Wife",White,"Female,Male",0,0-2339,40-56,"Mexico,United-States","<=50k,>50k"
25,19-66,"Local-gov,Private,Self-emp-not-inc",163003-169469,"7th-8th,Assoc-voc,Bachelors,HS-grad",4-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Farming-fishing,Handlers-cleaners,Prof-specialty,Sales,Transport-moving","Husband,Not-in-family,Other-relative,Own-child,Unmarried,Wife","Asian-Pac-Islander,Other,White","Female,Male",0-1409,0-2179,35-80,"Philippines,Puerto-Rico,United-States",<=50k
26,22-46,"Federal-gov,Private",351299-371987,"Assoc-acdm,Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Prof-specialty,Sales,Transport-moving","Husband,Not-in-family","Black,White","Female,Male",0,0,15-80,United-States,<=50k
27,25-50,Private,192776-193815,"1st-4th,Assoc-acdm,Doctorate,HS-grad,Masters,Some-college",2-16,"Married-civ-spouse,Married-spouse-absent,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Prof-specialty,Tech-support","Husband,Own-child,Unmarried",White,"Female,Male",0,0-1977,40-60,United-States,"<=50k,>50k"
28,23-52,"Local-gov,Private,Self-emp-not-inc",188401-190762,"1st-4th,Assoc-acdm,HS-grad,Some-college",2-12,"Divorced,Married-civ-spouse,Married-spouse-absent,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Farming-fishing,Machine-op-inspct,Protective-serv","Husband,Not-in-family,Own-child","Black,White","Female,Male",0,0,20-52,"Mexico,United-States",<=50k
29,20-49,"Local-gov,Private,Self-emp-not-inc,State-gov",261192-268234,"Assoc-acdm,Bachelors,HS-grad,Some-college",9-13,"Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Machine-op-inspct,Other-service,Prof-specialty,Protective-serv,Sales","Husband,Not-in-family,Own-child,Wife","Amer-Indian-Eskimo,Black,White","Female,Male",0,0,20-50,United-States,"<=50k,>50k"
30,22-45,Private,377869-399087,"11th,5th-6th,Bachelors,HS-grad,Masters,Some-college",3-14,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Machine-op-inspct,Other-service,Prof-specialty,Sales","Husband,Not-in-family,Other-relative,Own-child,Wife","Black,White","Female,Male",0-4064,0-1876,25-40,"Mexico,United-States",<=50k
31,20-51,"Federal-gov,Private,Self-emp-inc,Self-emp-not-inc",56915-64293,"Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Prof-specialty,Sales","Husband,Not-in-family,Own-child","Amer-Indian-Eskimo,White","Female,Male",0-2407,0,30-60,United-States,<=50k
32,19-75,"Private,Self-emp-inc,Self-emp-not-inc,State-gov",311512-317660,"Assoc-acdm,Assoc-voc,HS-grad,Some-college",9-12,"Divorced,Married-civ-spouse,Never-married,Widowed","Adm-clerical,Craft-repair,Other-service,Sales","Husband,Not-in-family,Own-child","Black,White","Female,Male",0-7688,0,15-40,"Columbia,Mexico,United-States","<=50k,>50k"
33,24-58,"Private,Self-emp-not-inc,State-gov",236596-242406,"11th,Bachelors,HS-grad,Some-college",7-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Handlers-cleaners,Machine-op-inspct,Sales,Tech-support,Transport-moving","Husband,Not-in-family,Unmarried","Black,White","Female,Male",0-4386,0,40-45,"Puerto-Rico,United-States","<=50k,>50k"
34,21-50,"Private,Self-emp-not-inc",193884-197200,"11th,7th-8th,Assoc-acdm,Assoc-voc,HS-grad,Some-college",4-12,"Married-civ-spouse,Never-married","Craft-repair,Exec-managerial,Handlers-cleaners,Machine-op-inspct,Other-service,Prof-specialty,Tech-support","Husband,Not-in-family,Own-child,Wife",White,"Female,Male",0-7688,0-1564,20-50,"Ecuador,United-States","<=50k,>50k"
35,19-47,"Local-gov,Private,State-gov",507875-1033222,"11th,9th,Bachelors,HS-grad,Some-college",5-13,"Married-AF-spouse,Married-civ-spouse,Never-married,Separated","Adm-clerical,Craft-repair,Exec-managerial,Machine-op-inspct,Transport-moving","Husband,Not-in-family,Unmarried,Wife","Black,White","Female,Male",0-3674,0,25-60,United-States,"<=50k,>50k"
36,20-49,"Local-gov,Private,Self-emp-not-inc,State-gov",261192-268234,"Assoc-acdm,Bachelors,HS-grad,Some-college",9-13,"Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Machine-op-inspct,Other-service,Prof-specialty,Protective-serv,Sales","Husband,Not-in-family,Own-child,Wife","Amer-Indian-Eskimo,Black,White","Female,Male",0,0,20-50,United-States,"<=50k,>50k"
37,19-47,"Local-gov,Private,State-gov",507875-1033222,"11th,9th,Bachelors,HS-grad,Some-college",5-13,"Married-AF-spouse,Married-civ-spouse,Never-married,Separated","Adm-clerical,Craft-repair,Exec-managerial,Machine-op-inspct,Transport-moving","Husband,Not-in-family,Unmarried,Wife","Black,White","Female,Male",0-3674,0,25-60,United-States,"<=50k,>50k"
38,17-53,"Private,Self-emp-not-inc,State-gov",86872-92262,"11th,Bachelors,HS-grad",7-13,"Divorced,Married-civ-spouse,Never-married","Craft-repair,Exec-managerial,Other-service,Prof-specialty,Sales","Husband,Not-in-family,Own-child,Unmarried,Wife","Asian-Pac-Islander,White","Female,Male",0-15024,0,10-60,"England,United-States","<=50k,>50k"
39,24-76,"Private,Self-emp-not-inc",172927-174575,"Bachelors,HS-grad,Masters",9-14,"Divorced,Married-civ-spouse","Adm-clerical,Craft-repair,Exec-managerial,Prof-specialty,Sales,Tech-support,Transport-moving","Husband,Not-in-family",White,"Female,Male",0,0-1564,10-50,United-States,"<=50k,>50k"
40,26-53,"Federal-gov,Private",92440-96129,"12th,9th,Assoc-acdm,Assoc-voc,HS-grad,Some-college",5-12,"Divorced,Married-civ-spouse,Never-married,Separated","Adm-clerical,Craft-repair,Handlers-cleaners,Sales,Tech-support","Husband,Not-in-family,Other-relative,Unmarried",White,"Female,Male",0,0-1977,40-50,United-States,"<=50k,>50k"
41,25-59,"Local-gov,Private,State-gov",286370-289980,"7th-8th,Bachelors,HS-grad,Masters,Some-college",4-14,"Divorced,Married-civ-spouse,Never-married","Craft-repair,Exec-managerial,Handlers-cleaners,Machine-op-inspct,Prof-specialty,Protective-serv,Transport-moving","Husband,Not-in-family,Unmarried,Wife","Black,White","Female,Male",0,0,35-45,"Mexico,United-States","<=50k,>50k"
42,23-58,"Federal-gov,Local-gov,Private,Self-emp-not-inc",321171-340148,"11th,Bachelors,HS-grad,Some-college",7-13,"Married-civ-spouse,Never-married","Adm-clerical,Farming-fishing,Handlers-cleaners,Other-service,Prof-specialty,Transport-moving","Husband,Not-in-family,Wife","Black,White","Female,Male",0,0-1887,30-50,"Canada,Cuba,Poland,United-States","<=50k,>50k"
43,30-59,"Private,Self-emp-not-inc,State-gov",141297-146268,"Assoc-acdm,Assoc-voc,Bachelors,HS-grad,Masters,Some-college",9-14,"Divorced,Married-civ-spouse,Married-spouse-absent","Adm-clerical,Exec-managerial,Handlers-cleaners,Machine-op-inspct,Prof-specialty,Sales,Tech-support","Husband,Not-in-family,Unmarried","Asian-Pac-Islander,Black,White","Female,Male",0-7688,0-1380,35-42,"India,Taiwan,United-States","<=50k,>50k"
44,31-66,"Federal-gov,Private,Self-emp-inc",127595-132178,"Bachelors,HS-grad,Masters",9-14,"Divorced,Married-civ-spouse,Never-married","Exec-managerial,Other-service,Prof-specialty,Sales,Tech-support,Transport-moving","Husband,Not-in-family,Unmarried","Black,White","Female,Male",0-7298,0,24-55,United-States,"<=50k,>50k"
45,19-56,"Private,State-gov",101128-102864,"Assoc-acdm,Assoc-voc,HS-grad,Masters,Some-college",9-14,"Married-civ-spouse,Married-spouse-absent,Never-married,Separated,Widowed","Craft-repair,Exec-managerial,Machine-op-inspct,Other-service,Prof-specialty,Protective-serv","Husband,Not-in-family,Own-child,Unmarried,Wife",White,"Female,Male",0,0,25-50,"Iran,United-States","<=50k,>50k"
46,17-62,"Private,Self-emp-not-inc,State-gov",268700-278130,"5th-6th,Assoc-acdm,Assoc-voc,Bachelors,HS-grad,Masters",3-14,"Married-civ-spouse,Never-married,Separated","Craft-repair,Other-service,Prof-specialty,Protective-serv","Husband,Not-in-family,Other-relative,Own-child",White,Male,0,0,40-50,"Cuba,Mexico,United-States","<=50k,>50k"
47,20-50,"Private,Self-emp-not-inc",30653-34918,"Assoc-acdm,Bachelors,HS-grad,Masters,Some-college",9-14,"Married-civ-spouse,Never-married","Adm-clerical,Exec-managerial,Farming-fishing,Prof-specialty,Sales,Transport-moving","Husband,Not-in-family,Own-child,Wife","Other,White","Female,Male",0-2407,0,15-98,"Germany,United-States",<=50k
48,23-90,"Federal-gov,Local-gov,Private",51744-56795,"9th,Assoc-voc,HS-grad,Masters,Prof-school",5-15,"Married-civ-spouse,Never-married,Widowed","Exec-managerial,Other-service,Prof-specialty,Sales,Transport-moving","Husband,Not-in-family,Wife","Black,White","Female,Male",0-14084,0-2206,20-60,"Honduras,Puerto-Rico,United-States","<=50k,>50k"
49,19-57,"Federal-gov,Private",248402-253814,"Assoc-voc,Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Married-spouse-absent,Never-married","Exec-managerial,Other-service,Prof-specialty,Protective-serv,Sales,Tech-support","Husband,Not-in-family,Own-child,Unmarried","Black,White","Female,Male",0,0,8-55,United-States,"<=50k,>50k"
50,28-59,"Private,Self-emp-inc,State-gov",108699-110978,"11th,Bachelors,Doctorate,HS-grad,Some-college",7-16,"Divorced,Married-civ-spouse","Adm-clerical,Craft-repair,Exec-managerial,Machine-op-inspct,Prof-specialty,Sales,Tech-support","Husband,Not-in-family,Other-relative,Unmarried","Other,White","Female,Male",0,0,1-60,"Puerto-Rico,United-States","<=50k,>50k"
51,24-58,"Private,Self-emp-not-inc,State-gov",236596-242406,"11th,Bachelors,HS-grad,Some-college",7-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Handlers-cleaners,Machine-op-inspct,Sales,Tech-support,Transport-moving","Husband,Not-in-family,Unmarried","Black,White","Female,Male",0-4386,0,40-45,"Puerto-Rico,United-States","<=50k,>50k"
52,23-56,"Local-gov,Private",214542-220419,"5th-6th,Bachelors,HS-grad",3-13,"Divorced,Married-civ-spouse,Never-married","Craft-repair,Handlers-cleaners,Machine-op-inspct,Other-service,Protective-serv,Tech-support,Transport-moving","Husband,Not-in-family,Wife",White,"Female,Male",0,0-2339,40-56,"Mexico,United-States","<=50k,>50k"
53,23-90,"Federal-gov,Local-gov,Private",51744-56795,"9th,Assoc-voc,HS-grad,Masters,Prof-school",5-15,"Married-civ-spouse,Never-married,Widowed","Exec-managerial,Other-service,Prof-specialty,Sales,Transport-moving","Husband,Not-in-family,Wife","Black,White","Female,Male",0-14084,0-2206,20-60,"Honduras,Puerto-Rico,United-States","<=50k,>50k"
54,20-48,"Private,Self-emp-not-inc,State-gov",146538-153790,"Bachelors,HS-grad,Masters,Some-college",9-14,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Machine-op-inspct,Other-service,Prof-specialty,Sales,Transport-moving","Husband,Not-in-family,Own-child","Amer-Indian-Eskimo,Asian-Pac-Islander,White","Female,Male",0,0,25-50,United-States,"<=50k,>50k"
55,20-48,Private,186824-188386,"Assoc-voc,Doctorate,HS-grad,Some-college",9-16,"Divorced,Married-civ-spouse,Never-married,Widowed","Craft-repair,Exec-managerial,Machine-op-inspct,Prof-specialty,Tech-support","Husband,Not-in-family,Own-child,Unmarried,Wife",White,"Female,Male",0-15024,0-1887,25-60,United-States,"<=50k,>50k"
56,20-51,"Federal-gov,Private,Self-emp-inc,Self-emp-not-inc",56915-64293,"Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Prof-specialty,Sales","Husband,Not-in-family,Own-child","Amer-Indian-Eskimo,White","Female,Male",0-2407,0,30-60,United-States,<=50k
57,20-48,"Private,Self-emp-not-inc,State-gov",146538-153790,"Bachelors,HS-grad,Masters,Some-college",9-14,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Machine-op-inspct,Other-service,Prof-specialty,Sales,Transport-moving","Husband,Not-in-family,Own-child","Amer-Indian-Eskimo,Asian-Pac-Islander,White","Female,Male",0,0,25-50,United-States,"<=50k,>50k"
58,20-44,"Local-gov,Private,Self-emp-not-inc",116632-117789,"11th,9th,Assoc-acdm,Doctorate,HS-grad,Some-college",5-16,"Married-civ-spouse,Never-married","Craft-repair,Farming-fishing,Other-service,Prof-specialty,Protective-serv,Transport-moving","Husband,Not-in-family,Own-child,Wife",White,"Female,Male",0,0-2042,40-45,"Portugal,United-States","<=50k,>50k"
59,19-70,Private,103432-108658,"Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Never-married,Widowed","Craft-repair,Machine-op-inspct,Other-service,Prof-specialty,Sales,Tech-support","Husband,Not-in-family,Other-relative,Unmarried","Black,White","Female,Male",0,0,24-58,"Haiti,United-States","<=50k,>50k"
60,24-62,Private,155222-159841,"Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Never-married,Widowed","Adm-clerical,Craft-repair,Exec-managerial,Machine-op-inspct,Other-service,Prof-specialty","Husband,Not-in-family,Own-child","Black,White","Female,Male",0-5178,0,24-42,United-States,"<=50k,>50k"
61,18-64,"Local-gov,Private,Self-emp-not-inc",181054-183930,"11th,Bachelors,HS-grad,Some-college",7-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Other-service,Sales","Husband,Not-in-family,Own-child","Black,White","Female,Male",0,0-2179,12-50,"Poland,United-States","<=50k,>50k"
62,24-59,"Local-gov,Private,Self-emp-not-inc,State-gov",169846-172579,"10th,Assoc-acdm,Bachelors,HS-grad,Some-college",6-13,"Divorced,Married-civ-spouse,Never-married,Separated,Widowed","Adm-clerical,Craft-repair,Exec-managerial,Other-service,Tech-support","Husband,Not-in-family,Unmarried,Wife","Black,White","Female,Male",0-7298,0,20-40,"England,United-States","<=50k,>50k"
63,17-57,"Federal-gov,Private,Self-emp-inc,Self-emp-not-inc",190942-192262,"1st-4th,9th,Doctorate,HS-grad,Some-college",2-16,"Divorced,Married-civ-spouse,Never-married,Widowed","Armed-Forces,Craft-repair,Exec-managerial,Machine-op-inspct,Other-service,Priv-house-serv,Prof-specialty","Husband,Not-in-family,Own-child","Black,White","Female,Male",0-1055,0-1902,24-60,United-States,"<=50k,>50k"
64,19-56,"Private,State-gov",101128-102864,"Assoc-acdm,Assoc-voc,HS-grad,Masters,Some-college",9-14,"Married-civ-spouse,Married-spouse-absent,Never-married,Separated,Widowed","Craft-repair,Exec-managerial,Machine-op-inspct,Other-service,Prof-specialty,Protective-serv","Husband,Not-in-family,Own-child,Unmarried,Wife",White,"Female,Male",0,0,25-50,"Iran,United-States","<=50k,>50k"
65,18-56,"Private,Self-emp-inc,Self-emp-not-inc",302146-309974,"11th,Bachelors,HS-grad,Some-college",7-13,"Married-civ-spouse,Never-married,Separated","Adm-clerical,Farming-fishing,Other-service,Sales,Transport-moving","Husband,Not-in-family,Own-child,Unmarried,Wife","Asian-Pac-Islander,Black,White","Female,Male",0,0,20-60,"Cambodia,Laos,United-States","<=50k,>50k"
66,27-65,"Local-gov,Private,Self-emp-not-inc",159937-162298,"10th,11th,9th,Bachelors,HS-grad,Some-college",5-13,"Married-civ-spouse,Married-spouse-absent,Never-married,Widowed","Adm-clerical,Craft-repair,Other-service,Sales,Transport-moving","Husband,Not-in-family,Unmarried,Wife","Black,Other,White","Female,Male",0,0-2415,6-70,"Jamaica,United-States","<=50k,>50k"
67,17-58,"Private,Self-emp-inc,Self-emp-not-inc",209642-213921,"9th,Bachelors,HS-grad,Some-college",5-13,"Divorced,Married-civ-spouse,Never-married","Exec-managerial,Machine-op-inspct,Other-service,Sales,Transport-moving","Husband,Not-in-family,Own-child,Unmarried,Wife","Black,White","Female,Male",0-15024,0,6-45,"Mexico,United-States","<=50k,>50k"
68,27-79,"Federal-gov,Local-gov,Private,Self-emp-inc",124191-126708,"7th-8th,HS-grad,Masters,Some-college",4-14,"Married-civ-spouse,Never-married","Adm-clerical,Exec-managerial,Farming-fishing,Handlers-cleaners,Machine-op-inspct,Other-service,Prof-specialty","Husband,Not-in-family,Other-relative,Wife",White,"Female,Male",0,0-1980,20-60,"Iran,United-States","<=50k,>50k"
69,17-58,"Private,Self-emp-inc,Self-emp-not-inc",209642-213921,"9th,Bachelors,HS-grad,Some-college",5-13,"Divorced,Married-civ-spouse,Never-married","Exec-managerial,Machine-op-inspct,Other-service,Sales,Transport-moving","Husband,Not-in-family,Own-child,Unmarried,Wife","Black,White","Female,Male",0-15024,0,6-45,"Mexico,United-States","<=50k,>50k"
70,20-50,"Private,Self-emp-not-inc",30653-34918,"Assoc-acdm,Bachelors,HS-grad,Masters,Some-college",9-14,"Married-civ-spouse,Never-married","Adm-clerical,Exec-managerial,Farming-fishing,Prof-specialty,Sales,Transport-moving","Husband,Not-in-family,Own-child,Wife","Other,White","Female,Male",0-2407,0,15-98,"Germany,United-States",<=50k
71,18-56,"Private,Self-emp-inc,Self-emp-not-inc",302146-309974,"11th,Bachelors,HS-grad,Some-college",7-13,"Married-civ-spouse,Never-married,Separated","Adm-clerical,Farming-fishing,Other-service,Sales,Transport-moving","Husband,Not-in-family,Own-child,Unmarried,Wife","Asian-Pac-Islander,Black,White","Female,Male",0,0,20-60,"Cambodia,Laos,United-States","<=50k,>50k"
72,27-79,"Federal-gov,Local-gov,Private,Self-emp-inc",124191-126708,"7th-8th,HS-grad,Masters,Some-college",4-14,"Married-civ-spouse,Never-married","Adm-clerical,Exec-managerial,Farming-fishing,Handlers-cleaners,Machine-op-inspct,Other-service,Prof-specialty","Husband,Not-in-family,Other-relative,Wife",White,"Female,Male",0,0-1980,20-60,"Iran,United-States","<=50k,>50k"
73,18-71,"Private,Self-emp-not-inc",428030-494223,"Bachelors,HS-grad,Masters,Some-college",9-14,"Divorced,Married-civ-spouse,Never-married,Separated","Craft-repair,Exec-managerial,Handlers-cleaners,Sales","Husband,Not-in-family,Other-relative,Unmarried","Black,White","Female,Male",0,0-1977,2-65,United-States,"<=50k,>50k"
